,user_id,Mood,Cuisine
0,1,Sad,Snack
1,2,Tired,Mexican
2,3,Happy/Cheerful,Dessert
3,4,Happy/Cheerful,Snack
4,5,Neutral/Calm/Relaxed,Italian
5,6,Tired,French
6,7,Angry/Frustrated,Beverage
7,8,Happy/Cheerful,Mexican
8,9,Neutral/Calm/Relaxed,Chinese
9,10,Angry/Frustrated,Dessert
10,11,Happy/Cheerful,Chinese
11,12,Angry/Frustrated,Japanese
12,13,Neutral/Calm/Relaxed,Indian
13,14,Angry/Frustrated,Italian
14,15,Angry/Frustrated,Chinese
15,16,Neutral/Calm/Relaxed,Indian
16,17,Happy/Cheerful,Indian
17,18,Angry/Frustrated,Italian
18,19,Sad,Indian
19,20,Happy/Cheerful,Japanese
20,21,Sad,Italian
21,22,Tired,French
22,23,Sad,Mexican
23,24,Neutral/Calm/Relaxed,Dessert
24,25,Tired,Indian
25,26,Tired,Indian
26,27,Angry/Frustrated,Chinese
27,28,Neutral/Calm/Relaxed,Italian
28,29,Neutral/Calm/Relaxed,Japanese
29,30,Happy/Cheerful,French
30,31,Neutral/Calm/Relaxed,Mexican
31,32,Sad,Snack
32,33,Angry/Frustrated,Beverage
33,34,Happy/Cheerful,Healthy Food
34,35,Sad,Chinese
35,36,Neutral/Calm/Relaxed,Beverage
36,37,Sad,Italian
37,38,Sad,Italian
38,39,Angry/Frustrated,Chinese
39,40,Neutral/Calm/Relaxed,Chinese
40,41,Tired,Chinese
41,42,Tired,French
42,43,Neutral/Calm/Relaxed,Beverage
43,44,Tired,French
44,45,Neutral/Calm/Relaxed,Indian
45,46,Neutral/Calm/Relaxed,Snack
46,47,Tired,Mexican
47,48,Happy/Cheerful,Dessert
48,49,Tired,Healthy Food
49,50,Neutral/Calm/Relaxed,Japanese
50,51,Happy/Cheerful,Dessert
51,52,Neutral/Calm/Relaxed,Snack
52,53,Angry/Frustrated,Chinese
53,54,Neutral/Calm/Relaxed,Chinese
54,55,Happy/Cheerful,Italian
55,56,Happy/Cheerful,Beverage
56,57,Sad,Snack
57,58,Happy/Cheerful,Japanese
58,59,Sad,Mexican
59,60,Neutral/Calm/Relaxed,Japanese
60,61,Neutral/Calm/Relaxed,Snack
61,62,Happy/Cheerful,Beverage
62,63,Angry/Frustrated,Beverage
63,64,Happy/Cheerful,Italian
64,65,Neutral/Calm/Relaxed,Dessert
65,66,Neutral/Calm/Relaxed,Dessert
66,67,Angry/Frustrated,Dessert
67,68,Angry/Frustrated,Italian
68,69,Tired,Snack
69,70,Neutral/Calm/Relaxed,Italian
70,71,Neutral/Calm/Relaxed,Japanese
71,72,Angry/Frustrated,Dessert
72,73,Tired,Beverage
73,74,Sad,Mexican
74,75,Neutral/Calm/Relaxed,Healthy Food
75,76,Angry/Frustrated,Indian
76,77,Happy/Cheerful,Snack
77,78,Happy/Cheerful,Japanese
78,79,Sad,Dessert
79,80,Angry/Frustrated,Indian
80,81,Sad,Chinese
81,82,Tired,Mexican
82,83,Happy/Cheerful,Mexican
83,84,Happy/Cheerful,Japanese
84,85,Angry/Frustrated,French
85,86,Happy/Cheerful,Snack
86,87,Angry/Frustrated,Dessert
87,88,Neutral/Calm/Relaxed,Healthy Food
88,89,Neutral/Calm/Relaxed,Dessert
89,90,Angry/Frustrated,Italian
90,91,Tired,Japanese
91,92,Angry/Frustrated,Italian
92,93,Tired,Dessert
93,94,Angry/Frustrated,Japanese
94,95,Angry/Frustrated,Italian
95,96,Tired,Snack
96,97,Neutral/Calm/Relaxed,Snack
97,98,Angry/Frustrated,French
98,99,Neutral/Calm/Relaxed,Japanese
99,100,Sad,Japanese
100,101,Angry/Frustrated,Dessert
101,102,Tired,Beverage
102,103,Angry/Frustrated,Healthy Food
103,104,Tired,Dessert
104,105,Angry/Frustrated,Mexican
105,106,Tired,Beverage
106,107,Tired,Dessert
107,108,Angry/Frustrated,Chinese
108,109,Angry/Frustrated,Chinese
109,110,Happy/Cheerful,Dessert
110,111,Angry/Frustrated,Dessert
111,112,Happy/Cheerful,Mexican
112,113,Neutral/Calm/Relaxed,Chinese
113,114,Angry/Frustrated,Indian
114,115,Neutral/Calm/Relaxed,Mexican
115,116,Sad,Mexican
116,117,Neutral/Calm/Relaxed,Chinese
117,118,Angry/Frustrated,Snack
118,119,Tired,Chinese
119,120,Sad,Japanese
120,121,Angry/Frustrated,Dessert
121,122,Happy/Cheerful,Japanese
122,123,Angry/Frustrated,Japanese
123,124,Neutral/Calm/Relaxed,Indian
124,125,Happy/Cheerful,Snack
125,126,Happy/Cheerful,Dessert
126,127,Angry/Frustrated,Mexican
127,128,Angry/Frustrated,Snack
128,129,Angry/Frustrated,Beverage
129,130,Tired,Healthy Food
130,131,Neutral/Calm/Relaxed,Japanese
131,132,Happy/Cheerful,Italian
132,133,Angry/Frustrated,Japanese
133,134,Tired,Japanese
134,135,Angry/Frustrated,Dessert
135,136,Happy/Cheerful,Italian
136,137,Angry/Frustrated,Chinese
137,138,Neutral/Calm/Relaxed,Mexican
138,139,Neutral/Calm/Relaxed,Dessert
139,140,Angry/Frustrated,French
140,141,Tired,Chinese
141,142,Tired,Japanese
142,143,Sad,Snack
143,144,Angry/Frustrated,Indian
144,145,Neutral/Calm/Relaxed,Healthy Food
145,146,Happy/Cheerful,Healthy Food
146,147,Tired,Snack
147,148,Neutral/Calm/Relaxed,Italian
148,149,Sad,Japanese
149,150,Sad,Mexican
150,151,Sad,Indian
151,152,Happy/Cheerful,Beverage
152,153,Neutral/Calm/Relaxed,Japanese
153,154,Happy/Cheerful,French
154,155,Tired,Dessert
155,156,Sad,Japanese
156,157,Tired,Snack
157,158,Tired,Italian
158,159,Tired,Japanese
159,160,Tired,Snack
160,161,Tired,Mexican
161,162,Sad,Italian
162,163,Neutral/Calm/Relaxed,Dessert
163,164,Tired,French
164,165,Angry/Frustrated,Italian
165,166,Angry/Frustrated,Snack
166,167,Angry/Frustrated,Mexican
167,168,Neutral/Calm/Relaxed,Italian
168,169,Tired,Indian
169,170,Tired,Italian
170,171,Angry/Frustrated,French
171,172,Angry/Frustrated,French
172,173,Happy/Cheerful,Italian
173,174,Angry/Frustrated,Mexican
174,175,Sad,Indian
175,176,Neutral/Calm/Relaxed,Dessert
176,177,Angry/Frustrated,Dessert
177,178,Sad,Healthy Food
178,179,Neutral/Calm/Relaxed,Healthy Food
179,180,Happy/Cheerful,Japanese
180,181,Happy/Cheerful,French
181,182,Tired,Mexican
182,183,Neutral/Calm/Relaxed,Healthy Food
183,184,Happy/Cheerful,Beverage
184,185,Sad,Snack
185,186,Neutral/Calm/Relaxed,Beverage
186,187,Tired,Beverage
187,188,Happy/Cheerful,Italian
188,189,Sad,Beverage
189,190,Angry/Frustrated,French
190,191,Happy/Cheerful,Snack
191,192,Angry/Frustrated,Snack
192,193,Angry/Frustrated,Mexican
193,194,Tired,Snack
194,195,Sad,Japanese
195,196,Tired,Chinese
196,197,Tired,Dessert
197,198,Neutral/Calm/Relaxed,Italian
198,199,Happy/Cheerful,Chinese
199,200,Tired,Healthy Food
200,201,Tired,Snack
201,202,Neutral/Calm/Relaxed,Healthy Food
202,203,Tired,Snack
203,204,Tired,Snack
204,205,Neutral/Calm/Relaxed,Mexican
205,206,Angry/Frustrated,French
206,207,Happy/Cheerful,Healthy Food
207,208,Sad,Indian
208,209,Sad,Chinese
209,210,Angry/Frustrated,Indian
210,211,Angry/Frustrated,Dessert
211,212,Neutral/Calm/Relaxed,Japanese
212,213,Angry/Frustrated,Mexican
213,214,Happy/Cheerful,Italian
214,215,Happy/Cheerful,Indian
215,216,Tired,Snack
216,217,Happy/Cheerful,Indian
217,218,Tired,Italian
218,219,Tired,Mexican
219,220,Neutral/Calm/Relaxed,Japanese
220,221,Neutral/Calm/Relaxed,Snack
221,222,Tired,Italian
222,223,Happy/Cheerful,Chinese
223,224,Angry/Frustrated,Dessert
224,225,Sad,Snack
225,226,Angry/Frustrated,Beverage
226,227,Tired,Chinese
227,228,Sad,French
228,229,Sad,Beverage
229,230,Angry/Frustrated,Snack
230,231,Neutral/Calm/Relaxed,Chinese
231,232,Tired,Indian
232,233,Tired,French
233,234,Angry/Frustrated,Dessert
234,235,Neutral/Calm/Relaxed,Indian
235,236,Neutral/Calm/Relaxed,Indian
236,237,Angry/Frustrated,Dessert
237,238,Angry/Frustrated,Beverage
238,239,Angry/Frustrated,Healthy Food
239,240,Neutral/Calm/Relaxed,Indian
240,241,Neutral/Calm/Relaxed,Snack
241,242,Sad,Mexican
242,243,Angry/Frustrated,French
243,244,Neutral/Calm/Relaxed,Beverage
244,245,Angry/Frustrated,Chinese
245,246,Angry/Frustrated,French
246,247,Sad,Indian
247,248,Angry/Frustrated,Indian
248,249,Tired,Japanese
249,250,Sad,Italian
250,251,Angry/Frustrated,Italian
251,252,Happy/Cheerful,Japanese
252,253,Neutral/Calm/Relaxed,Japanese
253,254,Angry/Frustrated,Snack
254,255,Neutral/Calm/Relaxed,Italian
255,256,Angry/Frustrated,Snack
256,257,Angry/Frustrated,Healthy Food
257,258,Sad,Mexican
258,259,Neutral/Calm/Relaxed,Dessert
259,260,Angry/Frustrated,Italian
260,261,Angry/Frustrated,Mexican
261,262,Angry/Frustrated,Snack
262,263,Tired,Beverage
263,264,Happy/Cheerful,Dessert
264,265,Sad,Healthy Food
265,266,Tired,Italian
266,267,Tired,Chinese
267,268,Angry/Frustrated,Beverage
268,269,Angry/Frustrated,French
269,270,Happy/Cheerful,French
270,271,Neutral/Calm/Relaxed,Mexican
271,272,Happy/Cheerful,Chinese
272,273,Neutral/Calm/Relaxed,Chinese
273,274,Tired,Snack
274,275,Sad,Snack
275,276,Tired,Indian
276,277,Sad,Italian
277,278,Happy/Cheerful,Italian
278,279,Angry/Frustrated,Chinese
279,280,Neutral/Calm/Relaxed,Healthy Food
